ordinal,field,expected_picture_top_line,expected_event,finding,note
43717,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.094/0.725 L315=125.134/20.346 L316=125.088/20.308
43718,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.036/0.689 L53=124.988/20.281 L54=124.978/20.238
43718,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.197/0.665 L315=125.266/20.293 L316=125.261/20.258
43719,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.128/0.668 L53=125.377/20.186 L54=125.295/20.184
43719,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.131/0.699 L315=125.230/20.240 L316=125.172/20.232
43720,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.352/0.630 L53=125.117/20.313 L54=125.195/20.248
43720,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.312/0.644 L315=125.514/20.394 L316=125.395/20.251
43721,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.155/0.668 L53=125.442/20.453 L54=125.508/20.412
43721,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.323/0.676 L315=125.300/20.572 L316=125.400/20.581
43722,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.158/0.672 L53=125.392/20.591 L54=125.277/20.428
43722,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.222/0.633 L315=125.591/20.509 L316=125.473/20.564
43723,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.314/0.700 L53=125.403/20.511 L54=125.498/20.497
43723,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.061/0.710 L315=125.397/20.600 L316=125.428/20.545
43724,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.786/0.702 L53=125.269/20.583 L54=125.267/20.613
43724,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.020/0.685 L315=125.377/20.476 L316=125.347/20.373
43725,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.947/0.727 L53=125.344/20.436 L54=125.308/20.463
43725,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.194/0.689 L315=125.436/20.477 L316=125.606/20.579
43726,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.027/0.712 L53=125.484/20.532 L54=125.287/20.511
43726,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.723/0.676 L315=125.159/20.511 L316=125.116/20.598
43727,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.739/0.686 L53=125.223/20.595 L54=125.389/20.561
43727,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=122.012/0.685 L315=125.445/20.485 L316=125.366/20.466
43728,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=122.044/0.704 L53=125.233/20.616 L54=125.280/20.524
43728,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=121.856/0.712 L315=125.133/20.546 L316=125.189/20.510
43729,1,53,forbid,2,raw Mute; placement forbidden; recorded_top=L53; picture_top=L53; L52=121.992/0.674 L53=125.278/20.563 L54=125.308/20.537
43729,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=34.242/46.919 L315=107.058/42.611 L316=107.048/42.629
43730,1,23,forbid,2,raw Mute; placement forbidden; recorded_top=L23; picture_top=L23; L22=1.383/0.486 L23=19.698/11.581 L24=17.545/9.588
43730,2,315,forbid,2,raw Mute; placement forbidden; recorded_top=L315; picture_top=L315; L314=51.628/46.293 L315=110.105/37.873 L316=109.748/38.661
43731,1,25,forbid,2,raw Mute; placement forbidden; recorded_top=L25; picture_top=L25; L24=22.956/10.987 L25=28.483/21.498 L26=27.411/9.007
43731,2,287,forbid,2,raw Mute; placement forbidden; recorded_top=L287; picture_top=L287; L286=66.894/59.400 L287=20.331/5.805 L288=27.139/6.236
43732,1,24,forbid,2,raw Mute; placement forbidden; recorded_top=L23; picture_top=L24; L23=6.309/3.977 L24=63.942/58.789 L25=65.741/59.167
43732,2,288,forbid,2,raw Mute; placement forbidden; recorded_top=L288; picture_top=L288; L287=59.659/56.419 L288=5.353/10.251 L289=4.414/9.852
43733,1,25,forbid,2,raw Mute; placement forbidden; recorded_top=L25; picture_top=L25; L24=59.188/58.248 L25=24.547/8.280 L26=24.566/6.134
43733,2,286,forbid,2,raw Mute; placement forbidden; recorded_top=L286; picture_top=L286; L285=1.400/0.490 L286=22.770/5.498 L287=28.123/6.508
43734,1,25,forbid,2,raw Mute; placement forbidden; recorded_top=L25; picture_top=L25; L24=21.794/15.883 L25=28.281/11.618 L26=29.069/8.369
43734,2,287,forbid,2,raw Mute; placement forbidden; recorded_top=L287; picture_top=L287; L286=69.580/58.565 L287=25.523/6.619 L288=32.370/7.725
43735,1,24,forbid,2,raw Mute; placement forbidden; recorded_top=L23; picture_top=L24; L23=11.336/2.327 L24=45.230/45.251 L25=30.036/42.476
43735,2,287,forbid,2,raw Mute; placement forbidden; recorded_top=L286; picture_top=L287; L286=11.598/2.298 L287=45.500/45.384 L288=30.186/42.596
43736,1,24,forbid,2,raw Mute; placement forbidden; recorded_top=L23; picture_top=L24; L23=11.486/2.256 L24=45.361/45.326 L25=29.969/42.545
43736,2,286,forbid,2,raw Mute; placement forbidden; recorded_top=L286; picture_top=L286; L285=1.380/0.485 L286=27.967/5.599 L287=33.025/6.500
43737,1,23,relock,2,raw relock; old geometry invalid; recorded_top=L23; picture_top=L23; L22=1.388/0.487 L23=26.531/6.444 L24=33.847/7.112
43737,2,288,relock,2,raw relock; old geometry invalid; recorded_top=L288; picture_top=L288; L287=20.853/36.279 L288=33.683/6.309 L289=33.978/5.767
61025,1,24,hold_previous,11,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L24; picture_top=L24; L23=33.408/46.274 L24=30.917/16.000 L25=36.477/22.806; first 16-bit wrap; raw counter=0"
61025,2,288,place,11,raw picture start confirmed; recorded_top=L288; picture_top=L288; L287=64.528/59.038 L288=35.597/21.501 L289=35.259/18.472; first 16-bit wrap; raw counter=0
62322,1,23,place,8,raw picture start confirmed; recorded_top=L23; picture_top=L23; L22=1.380/0.485 L23=11.161/8.005 L24=43.920/44.054
62322,1,23,place,9,raw picture start confirmed; recorded_top=L23; picture_top=L23; L22=1.380/0.485 L23=11.161/8.005 L24=43.920/44.054
62322,2,287,hold_previous,8,"oracle vbi_ambiguous; candidate retained, hold confirmed; recorded_top=L287; picture_top=L287; L286=31.978/45.148 L287=76.002/25.985 L288=98.495/32.774"
