ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
518,689,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.999,1.116,0.765/L260=1.086,1.027,3.789/L261=10.430,4.412,6.377/L262=1.456,0.818,1.135; peak=L261 margin=6.641; split fraction/run=0.336/29; outer edges=5/714; body=7.0+/-4.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.329,0.893,1.005/L523=6.116,4.397,6.899/L524=9.115,0.871,1.727/L525=1.072,0.703,1.697; peak=L524 margin=2.217; split fraction/run=0.883/138; outer edges=7/614; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
519,690,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.013,1.025,0.869/L260=0.920,0.880,4.917/L261=10.351,4.574,4.437/L262=1.270,0.797,1.199; peak=L261 margin=5.434; split fraction/run=0.523/51; outer edges=8/714; body=7.0+/-4.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.110,0.861,0.871/L523=7.421,4.515,6.492/L524=6.361,0.833,1.495/L525=1.138,0.901,1.522; peak=L523 margin=1.060; split fraction/run=0.192/10; outer edges=8/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
520,691,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.260,1.098,0.813/L260=1.153,0.817,4.703/L261=10.214,4.431,5.094/L262=1.284,0.890,1.348; peak=L261 margin=5.510; split fraction/run=0.458/41; outer edges=8/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.384,1.216,0.891/L523=5.557,3.883,6.669/L524=7.722,0.666,1.758/L525=1.014,0.826,1.472; peak=L524 margin=1.054; split fraction/run=0.883/150; outer edges=6/714; body=7.0+/-5.0/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
521,692,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.311,1.496,0.886/L260=1.069,1.080,3.870/L261=10.422,4.265,6.732/L262=0.845,0.900,1.398; peak=L261 margin=6.552; split fraction/run=0.350/51; outer edges=5/629; body=7.0+/-4.5/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.320,1.100,0.796/L523=4.949,4.150,6.533/L524=9.852,0.748,1.654/L525=1.291,0.801,1.561; peak=L524 margin=3.319; split fraction/run=0.888/135; outer edges=6/714; body=7.0+/-4.3/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
522,693,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.167,1.429,0.795/L260=0.955,0.970,3.829/L261=9.637,3.999,7.110/L262=0.623,0.667,1.146; peak=L261 margin=5.807; split fraction/run=0.374/67; outer edges=7/633; body=7.0+/-5.0/714.0+/-2.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.287,1.259,0.813/L523=5.243,4.129,6.277/L524=10.250,0.737,1.689/L525=1.245,0.709,1.389; peak=L524 margin=3.973; split fraction/run=0.869/131; outer edges=7/714; body=8.0+/-3.4/714.0+/-2.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
523,694,23,259,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.022,1.256,0.495/L260=1.041,0.830,1.600/L261=10.186,6.282,2.416/L262=0.909,1.613,1.170; peak=L261 margin=8.573; split fraction/run=0.318/58; outer edges=8/620; body=7.0+/-2.0/713.0+/-5.0; switch onset=L260; last complete picture=L259; band bottom=L262",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.929,1.038,0.360/L523=2.960,6.253,3.180/L524=10.828,1.386,0.839/L525=1.407,1.912,0.951; peak=L524 margin=4.575; split fraction/run=0.911/114; outer edges=8/714; body=7.0+/-2.0/713.0+/-5.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
524,695,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.999,1.258,0.552/L260=1.072,1.011,1.733/L261=9.993,6.874,2.887/L262=0.883,1.705,1.407; peak=L261 margin=8.260; split fraction/run=0.336/64; outer edges=7/714; body=7.0+/-2.0/713.0+/-5.7; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.976,1.215,0.427/L523=2.936,6.350,3.305/L524=10.670,1.571,0.932/L525=1.267,1.895,0.877; peak=L524 margin=4.320; split fraction/run=0.897/114; outer edges=6/714; body=7.0+/-2.0/714.0+/-6.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
525,696,23,259,262,262,cv_inspected,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.051,1.042,0.528/L260=1.095,0.907,1.881/L261=10.409,6.253,2.183/L262=0.951,1.506,1.030; peak=L261 margin=8.529; split fraction/run=0.439/73; outer edges=6/714; body=7.0+/-2.0/714.0+/-3.0; switch onset=L260; last complete picture=L259; band bottom=L262; row Y(mean/std) L22=1.363/0.481 L23=154.053/29.084 L24=150.277/30.049 L259=121.758/41.400 L260=111.108/41.290 L262=87.064/60.685",259,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=1.174,1.030,0.388/L523=2.629,6.241,3.148/L524=10.410,1.242,0.786/L525=1.416,1.955,0.771; peak=L524 margin=4.169; split fraction/run=0.925/116; outer edges=6/714; body=7.0+/-2.0/713.0+/-5.8; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
526,697,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=0.966,0.968,0.502/L260=0.985,0.787,0.981/L261=10.160,6.405,3.219/L262=0.843,1.822,1.276; peak=L261 margin=8.338; split fraction/run=0.131/24; outer edges=7/714; body=7.0+/-2.0/713.0+/-6.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.859,1.034,0.515/L523=2.535,6.134,3.163/L524=10.009,1.507,1.029/L525=1.377,1.970,1.009; peak=L524 margin=3.875; split fraction/run=0.869/113; outer edges=7/714; body=7.0+/-2.0/713.0+/-6.0; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
527,698,23,260,262,262,direct,"SP recording; raw first picture row L23; raster slot carries SP field 2 of the preceding unit; raw three-third displacement L259=1.068,0.964,0.577/L260=1.035,0.768,0.995/L261=10.323,6.228,3.256/L262=0.812,1.652,1.125; peak=L261 margin=8.671; split fraction/run=0.154/23; outer edges=6/714; body=7.0+/-2.0/713.0+/-5.0; switch onset=L261; last complete picture=L260; band bottom=L262",260,286,522,525,525,direct,"SP recording; raw first picture row L286; raster slot carries SP field 1 of this unit; raw three-third displacement L522=0.855,0.960,0.473/L523=2.971,5.884,3.332/L524=10.355,1.694,1.069/L525=1.198,2.091,0.907; peak=L524 margin=4.472; split fraction/run=0.850/127; outer edges=6/714; body=8.0+/-2.0/714.0+/-6.9; switch onset=L523; last complete picture=L522; band bottom=L525",522,0,0
