capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
w_2100s,158,2068,1,24,25,260,261,1,1,censored,censored,L25=110.948/16.861 L260=124.256/82.367 L261=16.712/8.236 L262=11.828/1.105 L263=1.389/0.500 L264=1.369/0.482
w_2100s,158,2068,2,288,288,522,522,0,0,censored,censored,L288=156.094/23.405 L521=124.166/82.153 L522=122.711/82.721 L525=10.991/0.725 L526=1.378/0.504 L527=16.000/0.000
w_2100s,159,2069,1,25,25,261,261,0,0,censored,censored,L25=109.997/16.654 L260=123.805/82.619 L261=16.211/7.996 L262=11.536/1.016 L263=1.367/0.482 L264=1.372/0.483
w_2100s,159,2069,2,288,288,522,522,0,0,censored,censored,L288=155.520/23.869 L521=124.227/82.190 L522=124.917/82.073 L525=11.287/0.739 L526=1.386/0.518 L527=16.000/0.000
w_2100s,160,2070,1,25,24,261,260,-1,-1,censored,censored,L24=110.197/16.211 L259=125.294/82.630 L260=17.097/9.347 L262=10.892/0.737 L263=1.384/0.496
w_2100s,160,2070,2,288,288,522,522,0,0,censored,censored,L288=156.753/22.482 L521=123.428/82.496 L522=124.941/82.505 L525=11.061/0.793 L526=1.387/0.506 L527=16.000/0.000
w_2100s,161,2071,1,24,25,260,261,1,1,censored,censored,L25=110.000/16.900 L260=123.906/82.763 L261=16.736/8.837 L262=11.489/0.955 L263=1.384/0.493 L264=1.400/0.490
w_2100s,161,2071,2,288,288,522,522,0,0,censored,censored,L288=152.645/21.709 L521=123.127/82.517 L522=124.200/82.684 L525=10.870/0.765 L526=1.372/0.502 L527=16.000/0.000
w_2100s,162,2072,1,25,24,261,260,-1,-1,censored,censored,L24=111.036/16.614 L259=125.062/83.142 L260=17.538/11.854 L262=10.720/0.686 L263=1.373/0.487
w_2100s,162,2072,2,288,288,522,523,0,1,censored,censored,L288=155.738/21.601 L522=123.433/83.148 L523=11.747/0.950 L525=11.105/0.727 L526=1.375/0.494 L527=16.000/0.000
w_2100s,163,2073,1,24,24,260,260,0,0,censored,censored,L24=112.653/16.919 L259=124.633/83.401 L260=17.947/14.994 L262=10.738/0.714 L263=1.389/0.491
w_2100s,163,2073,2,288,288,523,523,0,0,censored,censored,L288=155.258/22.083 L522=125.997/82.765 L523=11.641/0.943 L525=11.027/0.759 L526=1.370/0.502 L527=16.000/0.000
w_2100s,164,2074,1,24,25,260,261,1,1,censored,censored,L25=111.250/16.483 L260=124.661/83.487 L261=16.942/10.709 L262=11.117/1.050 L263=1.372/0.487 L264=1.383/0.486
w_2100s,164,2074,2,288,288,523,523,0,0,censored,censored,L288=155.345/20.934 L522=123.036/82.916 L523=11.670/0.973 L525=10.941/0.746 L526=1.372/0.502 L527=16.000/0.000
w_2100s,165,2075,1,25,24,261,260,-1,-1,censored,censored,L24=110.239/16.211 L259=122.505/82.635 L260=17.461/12.789 L262=10.769/0.735 L263=1.373/0.490
w_2100s,165,2075,2,288,288,523,523,0,0,censored,censored,L288=152.266/21.951 L522=122.847/83.515 L523=10.633/0.934 L525=10.608/0.773 L526=1.367/0.492 L527=16.000/0.000
w_2100s,166,2076,1,24,24,260,260,0,0,censored,censored,L24=113.017/16.167 L259=123.609/83.382 L260=18.277/14.333 L262=10.922/0.716 L263=1.375/0.484
w_2100s,166,2076,2,288,288,523,523,0,0,censored,censored,L288=155.841/22.909 L522=123.869/82.944 L523=11.441/0.903 L525=11.047/0.820 L526=1.369/0.492 L527=16.000/0.000
w_2100s,167,2077,1,24,25,260,261,1,1,censored,censored,L25=111.263/16.698 L260=121.891/82.814 L261=17.111/11.940 L262=11.069/0.904 L263=1.372/0.490 L264=1.377/0.485
w_2100s,167,2077,2,288,288,523,523,0,0,censored,censored,L288=153.787/23.129 L522=123.952/82.876 L523=10.872/0.842 L525=10.572/0.799 L526=1.384/0.496 L527=16.000/0.000
w_2100s,168,2078,1,25,25,261,261,0,0,censored,censored,L25=109.936/16.429 L260=123.037/83.305 L261=17.233/11.310 L262=11.286/0.861 L263=1.370/0.486 L264=1.375/0.484
w_2100s,168,2078,2,288,288,523,523,0,0,censored,censored,L288=155.573/20.911 L522=123.806/82.703 L523=11.055/0.871 L525=11.075/0.752 L526=1.375/0.487 L527=16.000/0.000
w_2100s,169,2079,1,25,25,261,261,0,0,censored,censored,L25=111.658/15.912 L260=122.552/83.183 L261=16.067/7.432 L262=10.766/0.858 L263=1.392/0.488 L264=1.372/0.483
w_2100s,169,2079,2,288,288,523,522,0,-1,censored,censored,L288=152.595/21.626 L521=121.905/82.811 L522=122.602/82.887 L525=10.700/0.729 L526=1.366/0.501 L527=16.000/0.000
w_2100s,170,2080,1,25,25,261,261,0,0,censored,censored,L25=110.594/15.686 L260=122.417/82.906 L261=16.242/7.717 L262=10.867/0.827 L263=1.398/0.499 L264=1.373/0.484
w_2100s,170,2080,2,288,288,522,523,0,1,censored,censored,L288=154.102/20.739 L522=121.709/82.765 L523=11.134/0.781 L525=10.864/0.722 L526=1.372/0.502 L527=16.000/0.000
w_2100s,171,2081,1,25,25,261,261,0,0,censored,censored,L25=110.347/16.768 L260=121.942/83.036 L261=17.684/12.992 L262=10.970/0.865 L263=1.387/0.487 L264=1.389/0.488
w_2100s,171,2081,2,288,288,523,523,0,0,censored,censored,L288=151.613/21.176 L522=120.777/82.905 L523=11.250/0.903 L525=10.684/0.740 L526=1.397/0.508 L527=16.000/0.000
w_2100s,172,2082,1,25,24,261,260,-1,-1,censored,censored,L24=109.864/15.045 L259=122.497/83.085 L260=16.375/7.923 L262=10.752/0.768 L263=1.386/0.493
w_2100s,172,2082,2,288,288,523,522,0,-1,censored,censored,L288=153.742/20.972 L521=119.573/82.670 L522=121.130/82.576 L525=10.891/0.734 L526=1.380/0.504 L527=16.000/0.000
w_2100s,173,2083,1,24,25,260,261,1,1,censored,censored,L25=111.244/14.902 L260=122.867/82.929 L261=16.066/6.179 L262=10.981/0.887 L263=1.363/0.484 L264=1.384/0.486
