ordinal,counter,f1_picture_top_line,f1_bottom_line,f1_hs_partial_line,f1_last_recorded_line,f1_method,f1_note,f1_direct_bottom_candidate,f2_picture_top_line,f2_bottom_line,f2_hs_partial_line,f2_last_recorded_line,f2_method,f2_note,f2_direct_bottom_candidate,applied_d1,applied_d2
236,2146,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.179/0.043/0.015; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=115.509/10.240 L25=161.287/22.474 L26=148.102/25.140 L258=132.764/78.456 L259=135.170/76.980 L260=27.777/31.080 L262=10.616/0.796,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.143/0.171/0.014; direct edge candidate=L522; body edge positions=11/714,522,2,2
237,2147,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.171/0.049/0.029; direct edge candidate=L259; body edge positions=10/714; magnified raw rows resolve L259; row Y(mean/std) L24=116.042/12.294 L25=151.173/20.055 L26=150.703/23.651 L258=134.116/78.691 L259=136.100/77.012 L260=26.717/30.328 L262=10.369/0.788,259,288,522,523,525,direct,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.138/0.234/0.028; direct edge candidate=L522; body edge positions=11/714,522,2,2
238,2148,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.200/0.229/0.043; direct edge candidate=L260; body edge positions=10/714,260,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.189/0.135/0.027; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=25.141/41.360 L288=156.128/20.947 L289=151.059/24.593 L521=134.272/77.906 L522=136.466/76.144 L523=11.041/0.869 L525=10.512/0.711,522,3,2
239,2149,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.169/0.049/0.014; direct edge candidate=L259; body edge positions=11/714; magnified raw rows resolve L259; row Y(mean/std) L24=116.402/10.578 L25=153.416/17.827 L26=150.859/21.515 L258=130.613/79.960 L259=132.908/78.128 L260=25.250/27.509 L262=10.722/0.793,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.173/0.160/0.013; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=30.125/45.818 L288=156.505/19.584 L289=151.102/24.507 L521=131.519/79.381 L522=133.664/77.477 L523=11.069/0.904 L525=10.552/0.659,522,2,2
240,2150,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.282/0.049/0.014; direct edge candidate=L259; body edge positions=11/714,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.213/0.147/0.013; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=21.044/34.624 L288=158.780/19.383 L289=151.767/22.745 L521=131.678/80.747 L522=135.575/78.513 L523=11.303/0.887 L525=10.689/0.715,522,2,2
241,2151,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.161/0.049/0.040; direct edge candidate=L259; body edge positions=11/714; magnified raw rows resolve L259; row Y(mean/std) L24=118.463/14.514 L25=156.095/17.818 L26=154.194/20.700 L258=128.667/81.356 L259=131.375/79.783 L260=24.528/25.811 L262=10.575/0.734,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.178/0.164/0.014; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=24.955/40.557 L288=156.613/17.023 L289=151.831/23.456 L521=128.809/80.672 L522=132.261/78.742 L523=11.169/0.887 L525=10.602/0.702,522,2,2
242,2152,26,260,261,262,direct,EP recording; raw VBI waveform L24; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.163/0.218/0.050; direct edge candidate=L260; body edge positions=11/714,260,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.145/0.118/0.013; direct edge candidate=L522; body edge positions=10/714; magnified raw rows resolve L522; row Y(mean/std) L287=23.197/39.766 L288=158.198/18.813 L289=151.669/23.249 L521=129.033/81.004 L522=132.892/78.467 L523=10.906/0.882 L525=10.453/0.714,522,3,2
243,2153,25,259,260,262,direct,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.225/0.037/0.013; direct edge candidate=L259; body edge positions=11/714,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.140/0.127/0.025; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=24.675/40.907 L288=158.367/18.479 L289=152.403/22.310 L521=128.684/81.096 L522=131.061/79.237 L523=10.512/0.875 L525=10.517/0.702,522,2,2
244,2154,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.208/0.056/0.014; direct edge candidate=L259; body edge positions=11/714; magnified raw rows resolve L259; row Y(mean/std) L24=117.447/14.617 L25=167.438/18.529 L26=151.378/20.333 L258=129.553/81.898 L259=131.302/80.124 L260=25.014/26.739 L262=10.298/0.758,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.171/0.158/0.013; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=60.673/57.486 L288=161.831/21.077 L289=152.512/23.441 L521=128.761/80.399 L522=132.569/78.836 L523=10.508/0.862 L525=10.719/0.709,522,2,2
245,2155,25,259,260,262,cv_inspected,EP recording; raw VBI waveform L23; intervening tape row; picture follows; outer-edge test L259/L260/L261=0.160/0.037/0.013; direct edge candidate=L259; body edge positions=11/714; magnified raw rows resolve L259; row Y(mean/std) L24=115.405/14.788 L25=155.214/18.091 L26=153.234/18.516 L258=129.386/80.951 L259=130.652/79.137 L260=23.375/24.266 L262=10.370/0.782,259,288,522,523,525,cv_inspected,EP recording; raw rows L286-L287 are VBI-type; first picture row is L288; outer-edge test L521/L522/L523=0.191/0.178/0.025; direct edge candidate=L522; body edge positions=11/714; magnified raw rows resolve L522; row Y(mean/std) L287=64.188/57.580 L288=160.072/20.005 L289=151.814/21.344 L521=129.236/80.172 L522=130.662/78.231 L523=11.230/0.933 L525=10.492/0.729,522,2,2
