capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_onset_line,switch_onset_line,previous_switch_line,switch_line,dp,ds,previous_reference_changed,previous_change_kind,raw_previous_rows,raw_rows
w_300s,490,13990,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.184/31.127 L521=93.055/53.476 L522=74.562/50.367 L525=10.094/0.932,L286=139.505/31.033 L521=95.919/51.759 L522=74.433/48.977 L525=10.106/0.904
w_300s,491,13991,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=131.823/40.387 L260=92.580/53.598 L261=30.505/35.342 L262=10.156/0.814,L24=135.505/41.881 L260=93.842/54.065 L261=30.087/35.058 L262=10.509/0.812
w_300s,491,13991,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=139.505/31.033 L521=95.919/51.759 L522=74.433/48.977 L525=10.106/0.904,L286=139.275/32.661 L521=90.802/52.006 L522=77.359/50.504 L525=10.069/0.899
w_300s,492,13992,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=135.505/41.881 L260=93.842/54.065 L261=30.087/35.058 L262=10.509/0.812,L24=134.352/40.200 L260=91.144/52.753 L261=32.122/36.890 L262=10.339/0.766
w_300s,492,13992,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=139.275/32.661 L521=90.802/52.006 L522=77.359/50.504 L525=10.069/0.899,L286=139.988/29.759 L521=93.434/51.857 L522=82.536/51.196 L525=9.983/0.895
w_300s,493,13993,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=134.352/40.200 L260=91.144/52.753 L261=32.122/36.890 L262=10.339/0.766,L24=133.842/38.665 L260=94.320/53.440 L261=29.908/34.664 L262=10.445/0.779
w_300s,493,13993,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=139.988/29.759 L521=93.434/51.857 L522=82.536/51.196 L525=9.983/0.895,L286=140.188/29.364 L521=92.655/52.351 L522=79.127/50.091 L525=10.180/0.870
w_300s,494,13994,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=133.842/38.665 L260=94.320/53.440 L261=29.908/34.664 L262=10.445/0.779,L24=135.261/39.605 L260=92.308/52.339 L261=31.695/36.511 L262=10.445/0.855
w_300s,494,13994,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=140.188/29.364 L521=92.655/52.351 L522=79.127/50.091 L525=10.180/0.870,L286=139.819/30.438 L521=93.514/51.747 L522=77.817/49.579 L525=10.345/0.953
w_300s,495,13995,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=135.261/39.605 L260=92.308/52.339 L261=31.695/36.511 L262=10.445/0.855,L24=135.688/40.337 L260=92.980/53.503 L261=29.675/34.461 L262=10.356/0.803
w_300s,495,13995,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=139.819/30.438 L521=93.514/51.747 L522=77.817/49.579 L525=10.345/0.953,L286=140.113/30.700 L521=92.466/52.180 L522=74.994/47.579 L525=10.455/0.928
w_300s,496,13996,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=135.688/40.337 L260=92.980/53.503 L261=29.675/34.461 L262=10.356/0.803,L24=135.238/40.180 L260=93.064/53.317 L261=30.264/35.547 L262=10.317/0.863
w_300s,496,13996,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=140.113/30.700 L521=92.466/52.180 L522=74.994/47.579 L525=10.455/0.928,L286=137.797/31.385 L521=92.966/53.008 L522=80.630/49.774 L525=9.891/0.888
w_300s,497,13997,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=135.238/40.180 L260=93.064/53.317 L261=30.264/35.547 L262=10.317/0.863,L24=134.980/40.582 L260=93.547/52.399 L261=32.033/36.986 L262=10.370/0.853
w_300s,497,13997,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=137.797/31.385 L521=92.966/53.008 L522=80.630/49.774 L525=9.891/0.888,L286=139.573/31.254 L521=92.481/52.641 L522=78.875/50.209 L525=10.269/0.873
w_300s,498,13998,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=134.980/40.582 L260=93.547/52.399 L261=32.033/36.986 L262=10.370/0.853,L24=133.406/40.415 L260=92.181/52.392 L261=30.483/34.643 L262=11.119/0.964
w_300s,498,13998,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=139.573/31.254 L521=92.481/52.641 L522=78.875/50.209 L525=10.269/0.873,L286=138.106/30.815 L521=94.311/51.523 L522=82.595/49.799 L525=10.478/0.927
w_300s,499,13999,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=133.406/40.415 L260=92.181/52.392 L261=30.483/34.643 L262=11.119/0.964,L24=134.083/40.939 L260=92.094/53.352 L261=30.764/34.725 L262=11.106/0.847
w_300s,499,13999,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=138.106/30.815 L521=94.311/51.523 L522=82.595/49.799 L525=10.478/0.927,L286=136.352/31.206 L521=91.170/52.773 L522=79.838/49.730 L525=10.423/0.917
w_300s,500,14000,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=134.083/40.939 L260=92.094/53.352 L261=30.764/34.725 L262=11.106/0.847,L24=133.964/41.273 L260=93.250/52.522 L261=31.163/35.544 L262=10.823/0.892
w_300s,500,14000,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.352/31.206 L521=91.170/52.773 L522=79.838/49.730 L525=10.423/0.917,L286=135.930/31.028 L521=93.858/51.843 L522=83.088/52.035 L525=10.312/0.855
w_300s,501,14001,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=133.964/41.273 L260=93.250/52.522 L261=31.163/35.544 L262=10.823/0.892,L24=132.809/40.445 L260=95.037/53.468 L261=32.913/36.973 L262=10.855/0.915
w_300s,501,14001,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=135.930/31.028 L521=93.858/51.843 L522=83.088/52.035 L525=10.312/0.855,L286=136.311/31.557 L521=92.950/52.289 L522=84.514/51.997 L525=10.442/0.950
w_300s,502,14002,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=132.809/40.445 L260=95.037/53.468 L261=32.913/36.973 L262=10.855/0.915,L24=132.988/40.871 L260=94.994/52.611 L261=31.853/36.219 L262=10.683/0.886
w_300s,502,14002,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.311/31.557 L521=92.950/52.289 L522=84.514/51.997 L525=10.442/0.950,L286=134.505/32.905 L521=94.914/52.407 L522=84.002/51.219 L525=10.519/0.878
w_300s,503,14003,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=132.988/40.871 L260=94.994/52.611 L261=31.853/36.219 L262=10.683/0.886,L24=133.359/41.768 L260=95.930/51.839 L261=30.253/34.153 L262=10.461/0.901
w_300s,503,14003,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=134.505/32.905 L521=94.914/52.407 L522=84.002/51.219 L525=10.519/0.878,L286=136.058/32.277 L521=92.188/51.540 L522=85.392/51.161 L525=10.280/0.870
w_300s,504,14004,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=133.359/41.768 L260=95.930/51.839 L261=30.253/34.153 L262=10.461/0.901,L24=132.564/40.314 L260=94.056/52.776 L261=30.042/34.200 L262=10.216/0.857
w_300s,504,14004,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.058/32.277 L521=92.188/51.540 L522=85.392/51.161 L525=10.280/0.870,L286=136.113/32.234 L521=92.531/52.342 L522=84.348/50.121 L525=10.170/0.934
w_300s,505,14005,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=132.564/40.314 L260=94.056/52.776 L261=30.042/34.200 L262=10.216/0.857,L24=131.755/41.191 L260=93.272/52.661 L261=31.438/35.552 L262=10.573/0.909
w_300s,505,14005,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=136.113/32.234 L521=92.531/52.342 L522=84.348/50.121 L525=10.170/0.934,L286=134.620/31.215 L521=92.358/51.669 L522=78.325/49.032 L525=10.319/0.888
w_300s,506,14006,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=131.755/41.191 L260=93.272/52.661 L261=31.438/35.552 L262=10.573/0.909,L24=130.347/40.133 L260=93.558/52.691 L261=31.005/35.267 L262=10.495/0.846
w_300s,506,14006,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=134.620/31.215 L521=92.358/51.669 L522=78.325/49.032 L525=10.319/0.888,L286=131.330/31.304 L521=92.925/53.060 L522=74.189/49.733 L525=10.470/0.871
w_300s,507,14007,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=130.347/40.133 L260=93.558/52.691 L261=31.005/35.267 L262=10.495/0.846,L24=130.141/40.746 L260=90.739/52.684 L261=29.416/33.864 L262=10.494/0.886
w_300s,507,14007,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=131.330/31.304 L521=92.925/53.060 L522=74.189/49.733 L525=10.470/0.871,L286=130.981/30.673 L521=93.008/51.542 L522=75.500/49.662 L525=10.402/0.912
w_300s,508,14008,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=130.141/40.746 L260=90.739/52.684 L261=29.416/33.864 L262=10.494/0.886,L24=129.128/40.624 L260=94.878/53.074 L261=31.134/35.787 L262=10.516/0.929
w_300s,508,14008,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=130.981/30.673 L521=93.008/51.542 L522=75.500/49.662 L525=10.402/0.912,L286=135.150/30.623 L521=94.514/52.609 L522=78.641/51.911 L525=10.450/0.915
w_300s,509,14009,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=129.128/40.624 L260=94.878/53.074 L261=31.134/35.787 L262=10.516/0.929,L24=130.752/40.412 L260=94.928/53.868 L261=30.141/35.010 L262=10.517/0.913
w_300s,509,14009,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=135.150/30.623 L521=94.514/52.609 L522=78.641/51.911 L525=10.450/0.915,L286=134.144/30.594 L521=93.033/53.528 L522=79.422/50.922 L525=10.284/0.879
w_300s,510,14010,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=130.752/40.412 L260=94.928/53.868 L261=30.141/35.010 L262=10.517/0.913,L24=131.230/40.428 L260=96.394/54.069 L261=31.266/36.242 L262=10.389/0.889
w_300s,510,14010,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=134.144/30.594 L521=93.033/53.528 L522=79.422/50.922 L525=10.284/0.879,L286=131.983/32.037 L521=92.348/53.705 L522=84.545/52.111 L525=10.306/0.870
w_300s,511,14011,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=131.230/40.428 L260=96.394/54.069 L261=31.266/36.242 L262=10.389/0.889,L24=127.678/40.778 L260=96.108/54.103 L261=31.539/36.511 L262=10.573/0.891
w_300s,511,14011,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=131.983/32.037 L521=92.348/53.705 L522=84.545/52.111 L525=10.306/0.870,L286=131.214/32.864 L521=91.737/53.865 L522=83.794/51.878 L525=10.536/0.863
w_300s,512,14012,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=127.678/40.778 L260=96.108/54.103 L261=31.539/36.511 L262=10.573/0.891,L24=128.887/41.757 L260=95.073/53.712 L261=31.709/36.769 L262=10.564/0.840
w_300s,512,14012,2,286,286,522,522,522,522,0,0,no,no_previous_change,L286=131.214/32.864 L521=91.737/53.865 L522=83.794/51.878 L525=10.536/0.863,L286=130.630/33.212 L521=94.198/53.745 L522=83.894/52.139 L525=10.448/0.954
w_300s,513,14013,1,24,24,261,261,261,261,0,0,no,no_previous_change,L24=128.887/41.757 L260=95.073/53.712 L261=31.709/36.769 L262=10.564/0.840,L24=128.255/42.270 L260=93.303/54.070 L261=32.117/36.804 L262=10.956/0.933
