capture,ordinal,counter,field,previous_picture_top_line,picture_top_line,previous_switch_first_line,switch_first_line,dp,ds,previous_status,status,raw_rows
composite,247,6289,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=18.153/8.639 L262=17.330/1.463
composite,247,6289,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=24.158/1.297 L525=15.709/1.896
composite,248,6290,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=17.894/8.829 L262=16.903/1.380
composite,248,6290,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.873/1.353 L525=15.714/1.483
composite,249,6291,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=17.327/8.685 L262=16.786/1.366
composite,249,6291,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=24.159/1.283 L525=16.256/1.634
composite,250,6292,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=17.028/8.574 L262=15.370/4.607
composite,250,6292,2,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L286=23.897/1.228 L525=16.613/1.695
composite,251,6293,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=17.427/8.630 L262=16.373/2.063
composite,251,6293,2,-1,286,-1,524,unmeasurable,unmeasurable,unmeasurable,inferred,L286=24.869/1.160 L523=16.670/1.740 L524=16.105/1.606 L525=16.100/1.476 L526=1.403/0.509
composite,252,6294,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=23.863/1.349 L262=16.837/1.368
composite,252,6294,2,286,-1,524,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=25.644/1.198 L525=17.627/1.781
composite,253,6295,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=24.447/1.271 L262=17.598/1.267
composite,253,6295,2,-1,286,-1,525,unmeasurable,unmeasurable,unmeasurable,inferred,L286=25.928/1.522 L524=17.850/1.618 L525=18.377/1.830 L526=1.367/0.492
composite,254,6296,1,-1,23,-1,260,unmeasurable,unmeasurable,unmeasurable,inferred,L23=25.794/1.688 L259=18.163/1.585 L260=18.002/1.501 L262=18.144/1.429 L263=1.392/0.495
composite,254,6296,2,286,286,525,525,0,0,inferred,inferred,L286=25.986/1.259 L524=18.005/1.572 L525=18.405/2.003 L526=1.383/0.517
composite,255,6297,1,23,23,260,261,0,1,inferred,inferred,L23=25.413/1.389 L260=17.594/1.391 L261=17.841/1.503 L262=17.786/1.382 L263=1.394/0.501
composite,255,6297,2,286,286,525,525,0,0,inferred,inferred,L286=25.917/1.363 L524=17.017/1.377 L525=15.197/1.492 L526=1.383/0.517
composite,256,6298,1,23,23,261,261,0,0,inferred,inferred,L23=24.011/3.851 L260=17.344/1.235 L261=17.309/1.203 L262=17.156/1.162 L263=1.373/0.496
composite,256,6298,2,286,-1,525,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=25.705/1.442 L525=16.397/1.584
composite,257,6299,1,23,-1,261,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L23=25.767/1.128 L262=18.234/1.563
composite,257,6299,2,-1,286,-1,525,unmeasurable,unmeasurable,unmeasurable,inferred,L286=26.078/1.587 L524=18.384/1.283 L525=19.688/1.395 L526=1.381/0.505
composite,258,6300,1,-1,-1,-1,-1,unmeasurable,unmeasurable,unmeasurable,unmeasurable,L23=25.887/1.364 L262=18.302/1.093
composite,258,6300,2,286,-1,525,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=25.977/1.354 L525=18.533/1.157
composite,259,6301,1,-1,23,-1,259,unmeasurable,unmeasurable,unmeasurable,inferred,L23=26.188/1.436 L258=19.127/1.152 L259=19.031/1.305 L262=18.502/1.140 L263=1.375/0.491
composite,259,6301,2,-1,286,-1,522,unmeasurable,unmeasurable,unmeasurable,inferred,L286=26.552/1.314 L521=18.394/1.121 L522=18.386/1.207 L525=18.309/1.164 L526=1.387/0.518
composite,260,6302,1,23,-1,259,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L23=25.856/1.206 L262=18.475/1.014
composite,260,6302,2,286,-1,522,-1,unmeasurable,unmeasurable,inferred,unmeasurable,L286=25.848/1.264 L525=17.823/1.032
composite,261,6303,1,-1,23,-1,262,unmeasurable,unmeasurable,unmeasurable,inferred,L23=25.172/1.115 L261=18.733/0.865 L262=19.034/1.073 L263=1.373/0.496
composite,261,6303,2,-1,286,-1,523,unmeasurable,unmeasurable,unmeasurable,inferred,L286=26.259/1.233 L522=18.163/1.106 L523=18.202/1.015 L525=17.911/1.044 L526=1.381/0.517
composite,262,6304,1,23,23,262,262,0,0,inferred,inferred,L23=25.020/1.005 L261=18.325/0.973 L262=18.441/1.011 L263=1.389/0.494
composite,262,6304,2,286,286,523,523,0,0,inferred,inferred,L286=26.047/1.989 L522=18.133/0.966 L523=18.186/1.066 L525=18.212/0.930 L526=1.386/0.506
composite,263,6305,1,23,23,262,259,0,-3,inferred,inferred,L23=25.709/1.331 L258=18.306/1.035 L259=18.042/1.110 L262=17.694/1.058 L263=1.383/0.492
composite,263,6305,2,286,286,523,524,0,1,inferred,inferred,L286=25.234/1.369 L523=17.758/0.985 L524=17.994/0.995 L525=17.781/1.089 L526=1.389/0.506
composite,264,6306,1,23,23,259,260,0,1,inferred,inferred,L23=25.709/1.504 L259=18.072/1.134 L260=18.053/1.080 L262=17.986/1.043 L263=1.373/0.490
composite,264,6306,2,286,286,524,523,0,-1,inferred,inferred,L286=25.559/1.524 L522=17.916/1.191 L523=17.834/1.149 L525=17.711/1.068 L526=1.400/0.521
